eventdate,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
11/28/2011,2011,NO,NYG,1601.815,1522.737,0.696223741,0.303776259,1620.393,1504.159,49,24
12/1/2011,2011,SEA,PHI,1424.309,1505.803,0.476281042,0.523718958,1454.813,1475.3,31,14
12/4/2011,2011,MIN,DEN,1400.802,1469.08,0.495282719,0.504717281,1387.09,1482.792,32,35
12/4/2011,2011,MIA,OAK,1477.424,1521.163,0.530558903,0.469441097,1505.735,1492.852,34,14
12/4/2011,2011,NO,DET,1620.393,1514.987,0.727293858,0.272706142,1634.102,1501.278,31,17
12/4/2011,2011,NE,IND,1709.128,1319.42,0.931980005,0.068019995,1711.473,1317.076,31,24
12/4/2011,2011,ARI,DAL,1396.706,1544.431,0.383149042,0.616850958,1421.651,1519.487,19,13
12/4/2011,2011,BUF,TEN,1435.847,1501.6,0.498916348,0.501083652,1416.437,1521.011,17,23
12/4/2011,2011,SF,LAR,1592.699,1318.113,0.875970628,0.124029372,1599.782,1311.03,26,0
12/4/2011,2011,CHI,KC,1597.387,1404.957,0.814857311,0.185142689,1559.007,1443.337,3,10
12/4/2011,2011,CLE,BAL,1403.531,1645.836,0.264900881,0.735099119,1390.254,1659.113,10,24
12/4/2011,2011,NYG,GB,1504.159,1772.432,0.236830864,0.763169136,1498.148,1778.443,35,38
12/4/2011,2011,TB,CAR,1443.332,1364.154,0.696345475,0.303654525,1398.685,1408.802,19,38
12/4/2011,2011,WSH,NYJ,1398.095,1571.854,0.348402838,0.651597162,1379.686,1590.263,19,34
12/4/2011,2011,HOU,ATL,1621.992,1601.501,0.620607078,0.379392922,1637.181,1586.312,17,10
12/4/2011,2011,PIT,CIN,1654.715,1530.387,0.748355278,0.251644722,1670.319,1514.782,35,7
12/5/2011,2011,JAX,LAC,1414.299,1471.926,0.510609007,0.489390993,1381.317,1504.908,14,38
12/8/2011,2011,PIT,CLE,1670.319,1390.254,0.879356854,0.120643146,1675.502,1385.071,14,3
12/11/2011,2011,TEN,NO,1521.011,1634.102,0.431230121,0.568769879,1505.888,1649.224,17,22
12/11/2011,2011,JAX,TB,1381.317,1398.685,0.568121703,0.431878297,1409.489,1370.513,41,14
12/11/2011,2011,GB,OAK,1778.443,1492.852,0.882691032,0.117308968,1785.392,1485.903,46,16
12/11/2011,2011,WSH,NE,1379.686,1711.473,0.177154033,0.822845967,1373.115,1718.044,27,34
12/11/2011,2011,DET,MIN,1501.278,1387.09,0.737204476,0.262795524,1510.736,1377.633,34,28
12/11/2011,2011,LAC,BUF,1504.908,1416.437,0.707536654,0.292463346,1523.128,1398.217,37,10
12/11/2011,2011,DAL,NYG,1519.487,1498.148,0.621755763,0.378244237,1501.544,1516.091,34,37
12/11/2011,2011,BAL,IND,1659.113,1317.076,0.91238368,0.08761632,1663.118,1313.072,24,10
12/11/2011,2011,CIN,HOU,1514.782,1637.181,0.418139601,0.581860399,1509.133,1642.83,19,20
12/11/2011,2011,CAR,ATL,1408.802,1586.312,0.34351713,0.65648287,1394.44,1600.674,23,31
12/11/2011,2011,NYJ,KC,1590.263,1443.337,0.772053716,0.227946284,1604.12,1429.481,37,10
12/11/2011,2011,MIA,PHI,1505.735,1475.3,0.633988955,0.366011045,1468.181,1512.853,10,26
12/11/2011,2011,ARI,SF,1421.651,1599.782,0.342711425,0.657288575,1436.876,1584.557,21,19
12/11/2011,2011,DEN,CHI,1482.792,1559.007,0.483865921,0.516134079,1497.175,1544.624,13,10
12/12/2011,2011,SEA,LAR,1454.813,1311.03,0.768854002,0.231145998,1467.016,1298.826,30,13
12/15/2011,2011,ATL,JAX,1600.674,1409.489,0.813773653,0.186226347,1611.79,1398.372,41,14
12/17/2011,2011,TB,DAL,1370.513,1501.544,0.406101575,0.593898425,1348.172,1523.885,15,31
12/18/2011,2011,LAC,BAL,1523.128,1663.118,0.393725917,0.606274083,1561.347,1624.899,34,14
12/18/2011,2011,PHI,NYJ,1512.853,1604.12,0.462270605,0.537729395,1548.727,1568.246,45,19
12/18/2011,2011,KC,GB,1429.481,1785.392,0.157809406,0.842190594,1464.26,1750.613,19,14
12/18/2011,2011,CHI,SEA,1544.624,1467.016,0.694431094,0.305568906,1496.819,1514.821,14,38
12/18/2011,2011,MIN,NO,1377.633,1649.224,0.233396071,0.766603929,1364.253,1662.604,20,42
12/18/2011,2011,LAR,CIN,1298.826,1509.133,0.302282068,0.697717932,1287.034,1520.926,13,20
12/18/2011,2011,HOU,CAR,1642.83,1394.44,0.858637323,0.141362677,1587.308,1449.962,13,28
12/18/2011,2011,IND,TEN,1313.072,1505.888,0.323930249,0.676069751,1351.947,1467.013,27,13
12/18/2011,2011,OAK,DET,1485.903,1510.736,0.557548795,0.442451205,1478.03,1518.609,27,28
12/18/2011,2011,DEN,NE,1497.175,1718.044,0.289615109,0.710384891,1481.249,1733.97,23,41
12/18/2011,2011,BUF,MIA,1398.217,1468.181,0.492856716,0.507143284,1377.766,1488.632,23,30
12/18/2011,2011,ARI,CLE,1436.876,1385.071,0.662036688,0.337963312,1445.774,1376.173,20,17
12/18/2011,2011,NYG,WSH,1516.091,1373.115,0.76802739,0.23197261,1471.321,1417.885,10,23
12/19/2011,2011,SF,PIT,1584.557,1675.502,0.462731394,0.537268606,1615.985,1644.073,20,3
12/22/2011,2011,IND,HOU,1351.947,1587.308,0.272757523,0.727242477,1373.803,1565.452,19,16
12/24/2011,2011,PIT,LAR,1644.073,1287.034,0.919045754,0.080954246,1648.6,1282.507,27,0
12/24/2011,2011,CAR,TB,1449.962,1348.172,0.723145914,0.276854086,1467.958,1330.176,48,16
12/24/2011,2011,NYJ,NYG,1568.246,1471.321,0.717504222,0.282495778,1525.298,1514.269,14,29
12/24/2011,2011,BAL,CLE,1624.899,1376.173,0.858871928,0.141128072,1629.706,1371.366,20,14
12/24/2011,2011,WSH,MIN,1417.885,1364.253,0.664385793,0.335614207,1388.679,1393.459,26,33
12/24/2011,2011,SEA,SF,1514.821,1615.985,0.448142965,0.551857035,1505.133,1625.673,17,19
12/24/2011,2011,TEN,JAX,1467.013,1398.372,0.683369328,0.316630672,1478.63,1386.755,23,17
12/24/2011,2011,DAL,PHI,1523.885,1548.727,0.557536015,0.442463985,1493.91,1578.701,7,20
12/24/2011,2011,BUF,DEN,1377.766,1481.249,0.444843887,0.555156113,1415.011,1444.003,40,14
12/24/2011,2011,KC,OAK,1464.26,1478.03,0.573196186,0.426803814,1447.988,1494.301,13,16
12/24/2011,2011,NE,MIA,1733.97,1488.632,0.856491378,0.143508622,1737.457,1485.145,27,24
12/24/2011,2011,CIN,ARI,1520.926,1445.774,0.691422868,0.308577132,1532.991,1433.709,23,16
12/24/2011,2011,DET,LAC,1518.609,1561.347,0.53199382,0.46800618,1549.811,1530.144,38,10
12/25/2011,2011,GB,CHI,1750.613,1496.819,0.862371222,0.137628778,1757.124,1490.309,35,21
12/26/2011,2011,NO,ATL,1662.604,1611.79,0.660759128,0.339240872,1684.526,1589.868,45,16
1/1/2012,2011,MIA,NYJ,1485.145,1525.298,0.535696871,0.464303129,1495.233,1515.21,19,17
1/1/2012,2011,OAK,LAC,1494.301,1530.144,0.541862069,0.458137931,1466.131,1558.315,26,38
1/1/2012,2011,NO,CAR,1684.526,1467.958,0.834910351,0.165089649,1694.383,1458.102,45,17
1/1/2012,2011,DEN,KC,1444.003,1447.988,0.586915958,0.413084042,1424.572,1467.419,3,7
1/1/2012,2011,ATL,TB,1589.868,1330.176,0.866351489,0.133648511,1597.067,1322.976,45,24
1/1/2012,2011,HOU,TEN,1565.452,1478.63,0.705568542,0.294431458,1554.946,1489.136,22,23
1/1/2012,2011,JAX,IND,1386.755,1373.803,0.61033671,0.38966329,1401.401,1359.157,19,13
1/1/2012,2011,LAR,SF,1282.507,1625.673,0.167806674,0.832193326,1276.312,1631.868,27,34
1/1/2012,2011,MIN,CHI,1393.459,1490.309,0.454292132,0.545707868,1379.045,1504.723,13,17
1/1/2012,2011,PHI,WSH,1578.701,1388.679,0.812756955,0.187243045,1589.503,1377.877,34,10
